,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
860,MOGU Inc.,MOGU,NYSE,14.0,"4,750,000","$66,500,000",2018-12-06,/market-activity/ipos/overview?dealId=1069232-88337,1000,"4,750,000",66500000.0,"HUANGLONG WANKE CENTER, 23/F, BLDG NO.G NO. 77 XUEYUAN ROAD, XIHU DISTRICT  HANGZHOU  310012",8657188867550
861,"Moderna, Inc.",MRNA,NASDAQ Global Select,23.0,"26,275,993","$604,347,839",2018-12-07,/market-activity/ipos/overview?dealId=1002128-88329,700,"328,948,088",7565806024.0,200 TECHNOLOGY SQUARE   CAMBRIDGE MA 02139,6177146500
862,DiaMedica Therapeutics Inc.,DMAC,NASDAQ Capital,4.0,"4,100,000","$16,400,000",2018-12-07,/market-activity/ipos/overview?dealId=745608-88332,11,"11,939,176",47756704.0,2 CARLSON PARKWAY SUITE 260  MINNEAPOLIS MN 55447,(763) 496-5454
863,"Synthorx, Inc.",THOR,NASDAQ Global Select,11.0,"11,912,727","$131,039,997",2018-12-07,/market-activity/ipos/overview?dealId=936607-88360,25,"30,230,319",332533509.0,11099 NORTH TORREY PINES ROAD SUITE 190  LA JOLLA CA 92037,(858) 750-4700
864,Tencent Music Entertainment Group,TME,NYSE,13.0,"82,000,000","$1,066,000,000",2018-12-12,/market-activity/ipos/overview?dealId=1065721-88039,2559,"84,457,323",1097945199.0,"17/F, MALATA BUILDING, KEJIZHONGYI ROAD MIDWEST DISTRICT OF HI-TECH PARK  NANSHAN DISTRICT, SHENZHEN  518057",86 755 86013388
865,"360 DigiTech, Inc.",QFIN,NASDAQ,16.5,"3,100,000","$51,150,000",2018-12-14,/market-activity/ipos/overview?dealId=1068009-88221,691,"3,100,000",51150000.0,"7/F LUJIAZUI FINANCE PLAZA NO. 1217 DONGFANG ROAD  PUDONG NEW AREA, SHANGHAI  200122",862161516360
866,Legacy Housing Corp,LEGH,NASDAQ Global Select,12.0,"4,000,000","$48,000,000",2018-12-14,/market-activity/ipos/overview?dealId=796981-88325,800,"24,000,000",288000000.0,"1600 AIRPORT FREEWAY,  #100   BEDFORD TX 76022",(817) 799-4900
867,Aptorum Group Ltd,APM,NASDAQ Capital,15.8,"1,898,734","$29,999,997",2018-12-18,/market-activity/ipos/overview?dealId=1049383-87816,46,"7,678,621",121322211.80000001,17 HANOVER SQUARE   LONDON  W1S 1BN,852 3953 7700
868,Amerant Bancorp Inc.,AMTB,NASDAQ Global Select,13.0,"6,300,000","$81,900,000",2018-12-19,/market-activity/ipos/overview?dealId=1056466-88080,948,"26,114,993",339494909.0,220 ALHAMBRA CIRCLE   CORAL GABLES FL 33134,(305)460-4038
869,"Puhui Wealth Investment Management Co., Ltd.",PHCF,NASDAQ Capital,6.0,"2,000,000","$12,000,000",2018-12-27,/market-activity/ipos/overview?dealId=1054147-86924,97,"12,000,000",72000000.0,"ROOM 801, 802, 8TH FL, W1 OFFICE BLDG ORIENTAL COMMERCE TOWER NO.1 CHANG AN ST  DONG CHENG DISTRICT, BEIJING  100006",861053605158
870,"China SXT Pharmaceuticals, Inc.",SXTC,NASDAQ Capital,4.0,"2,546,275","$10,185,100",2019-01-04,/market-activity/ipos/overview?dealId=1039073-85500,105,"23,750,000",95000000.0,178 TAIDONG ROAD NORTH   TAIZHOU  225300,8652386298290
871,MDJM LTD,MDJH,NASDAQ Capital,5.0,"1,241,459","$6,207,295",2019-01-08,/market-activity/ipos/overview?dealId=1061754-87627,129,"11,980,000",59900000.0,"SUITE C-1505, SAIDUN CENTER XIKANG ROAD, HEPING DISTRICT  TIANJIN  300051",86-2283520851
872,"MMTec, Inc.",MTC,NASDAQ Capital,4.0,"1,800,000","$7,200,000",2019-01-08,/market-activity/ipos/overview?dealId=1067524-88186,37,"19,800,000",79200000.0,"AF, 16/F, BLOCK B, JIACHENG PLAZA 18 XIAGUANGLI  CHAOYANG DISTRICT, BEIJING  100027",86-1056172312
873,New Fortress Energy Inc.,NFE,NASDAQ Global Select,14.0,"20,000,000","$280,000,000",2019-01-31,/market-activity/ipos/overview?dealId=1069254-88349,147,"20,000,000",280000000.0,111 W. 19TH STREET 8TH FLOOR  NEW YORK NY 10011,(516) 268-7400
874,"ShockWave Medical, Inc.",SWAV,NASDAQ Global Select,17.0,"5,700,000","$96,900,000",2019-03-07,/market-activity/ipos/overview?dealId=966234-88916,162,"26,906,762",457414954.0,5403 BETSY ROSS DRIVE   SANTA CLARA CA 95054,(510) 279-4262
875,Futu Holdings Ltd,FHL,NASDAQ Global,12.0,"7,500,000","$90,000,000",2019-03-08,/market-activity/ipos/overview?dealId=1073138-88709,585,"7,500,000",90000000.0,"9F UNIT 3 BUILDING C KEXING SCIENCE PARK 15 KEYUAN ROAD, TECHNOLOGY PARK  NANSHAN DISTRICT, SHENZHEN  518057",8675525233312
876,Up Fintech Holding LTD,TIGR,NASDAQ Global Select,8.0,"13,000,000","$104,000,000",2019-03-20,/market-activity/ipos/overview?dealId=1078451-89016,446,"13,000,000",104000000.0,"18F,NO.16 TAIYANGGONG RD,CHAOYANG DIST.   BEIJING  100020",86-10-56216660
877,LEVI STRAUSS & CO,LEVI,NYSE,17.0,"36,666,667","$623,333,339",2019-03-21,/market-activity/ipos/overview?dealId=75816-88938,14400,"36,666,667",623333339.0,1155 BATTERY ST   SAN FRANCISCO CA 94111,4155016000
878,Genfit S.A.,GNFT,NASDAQ Global Select,20.32,"6,150,000","$124,968,000",2019-03-27,/market-activity/ipos/overview?dealId=1078787-89050,148,"37,833,921",768785274.72,"PARC EURASANTE 885, AVENUE EUGENE AVINEE  LOOS  59120",33 3 20 16 4000
879,PRECISION BIOSCIENCES INC,DTIL,NASDAQ Global Select,16.0,"7,900,000","$126,400,000",2019-03-28,/market-activity/ipos/overview?dealId=703861-89080,127,"49,029,024",784464384.0,302 EAST PETTIGREW STREET SUITE A-100  DURHAM NC 27701,919-314-5512
880,"Lyft, Inc.",LYFT,NASDAQ Global Select,72.0,"32,500,000","$2,340,000,000",2019-03-29,/market-activity/ipos/overview?dealId=1078985-89065,4791,"273,097,591",19663026552.0,"185 BERRY STREET, SUITE 5000   SAN FRANCISCO CA 94107",844-250-2773
881,"PUYI, INC.",PUYI,NASDAQ Global,6.0,"4,292,276","$25,753,656",2019-03-29,/market-activity/ipos/overview?dealId=1070212-88446,298,"6,666,668",40000008.0,"42F, PEARL RIVER TOWER NO. 15, ZHUJIANG WEST ROAD, ZHUJIANG NEW TOWN, GUANGZHOU  GUANGDONG PROVINCE  510623",86 20 29008955
882,"TransMedics Group, Inc.",TMDX,NASDAQ Global,16.0,"5,690,000","$91,040,000",2019-05-02,/market-activity/ipos/overview?dealId=1082087-89374,92,"20,236,097",323777552.0,200 MINUTEMAN ROAD   ANDOVER MA 01810,978-552-0900
883,So-Young International Inc.,SY,NASDAQ Global,13.8,"13,000,000","$179,400,000",2019-05-02,/market-activity/ipos/overview?dealId=1082146-89388,862,"13,000,000",179400000.0,"3/F, WANGJING SOHO-TOWER 3A CHAOYANG DISTRICT  BEIJING  100102",00861057076564
884,"BEYOND MEAT, INC.",BYND,NASDAQ Global Select,25.0,"9,625,000","$240,625,000",2019-05-02,/market-activity/ipos/overview?dealId=977310-88416,383,"58,308,044",1457701100.0,119 STANDARD STREET   EL SEGUNDO CA 90245,866-756-4112
885,RED RIVER BANCSHARES INC,RRBI,NASDAQ Global Select,45.0,"600,000","$27,000,000",2019-05-03,/market-activity/ipos/overview?dealId=232744-89408,320,"7,210,246",324461070.0,1412 CENTRE COURT DRIVE SUITE 501  ALEXANDRIA LA 71301,(318) 561-5028
886,Yunji Inc.,YJ,NASDAQ Global,11.0,"11,000,000","$121,000,000",2019-05-03,/market-activity/ipos/overview?dealId=1080765-89252,1013,"11,000,000",121000000.0,"15/F, SOUTH BUILDING, HIPARK PHASE 2, XIAOSHAN DISTRICT  HANGZHOU  310000",86 571-81688920
887,SciPlay Corp,SCPL,NASDAQ Global Select,16.0,"22,000,000","$352,000,000",2019-05-03,/market-activity/ipos/overview?dealId=1082012-89370,390,"22,000,000",352000000.0,6601 BERMUDA ROAD   LAS VEGAS NV 89119,7028977150
888,ATIF Holdings Ltd,ATIF,NASDAQ Capital,5.0,"2,074,672","$10,373,360",2019-05-03,/market-activity/ipos/overview?dealId=1071558-88554,25,"39,000,000",195000000.0,"ROOM 3803, DACHONG INTERNATIONAL CENTRE 39 TONGGU ROAD, NANSHAN DISTRICT  SHENZHEN  000000",86 0755-86950-8
889,"Trevi Therapeutics, Inc.",TRVI,NASDAQ Global,10.0,"5,500,000","$55,000,000",2019-05-07,/market-activity/ipos/overview?dealId=895451-89379,16,"17,771,751",177717510.0,195 CHURCH STREET 14TH FLOOR  NEW HAVEN CT 06510,203-304-2499
890,PARSONS CORP,PSN,NYSE,27.0,"18,518,500","$499,999,500",2019-05-08,/market-activity/ipos/overview?dealId=539976-89426,15633,"96,657,331",2609747937.0,5875 TRINITY PKWY #300   CENTREVILLE VA 20120,703-988-8500
891,"SOUTH PLAINS FINANCIAL, INC.",SPFI,NASDAQ Global Select,17.5,"3,380,000","$59,150,000",2019-05-09,/market-activity/ipos/overview?dealId=130072-89439,684,"17,471,520",305751600.0,5219 CITY BANK PARKWAY   LUBBOCK TX 79407-3544,806-792-7101
892,HeadHunter Group PLC,HHR,NASDAQ Global Select,13.5,"16,304,348","$220,108,698",2019-05-09,/market-activity/ipos/overview?dealId=1049697-86455,683,"50,000,000",675000000.0,"DOSITHEOU, 42, STROVOLOS   NICOSIA  2028",357-22-418200
893,"Mayville Engineering Company, Inc.",MEC,NYSE,17.0,"6,250,000","$106,250,000",2019-05-09,/market-activity/ipos/overview?dealId=1082705-89432,3100,"19,693,484",334789228.0,715 SOUTH STREET   MAYVILLE WI 53050,920-387-4500
894,Milestone Pharmaceuticals Inc.,MIST,NASDAQ Global Select,15.0,"5,500,000","$82,500,000",2019-05-09,/market-activity/ipos/overview?dealId=752769-89434,23,"23,647,589",354713835.0,1111 DR. FREDERIK-PHILIPS BLVD SUITE 420  MONTREAL  H4M 2X6,(514) 336-0444
895,"NextCure, Inc.",NXTC,NASDAQ Global Select,15.0,"5,000,000","$75,000,000",2019-05-09,/market-activity/ipos/overview?dealId=983745-89429,44,"21,935,381",329030715.0,"9000 VIRGINIA MANOR ROAD, SUITE 200   BELTSVILLE MD 20705",240-399-4900
896,"Cortexyme, Inc.",CRTX,NASDAQ Global Select,17.0,"4,412,000","$75,004,000",2019-05-09,/market-activity/ipos/overview?dealId=983217-89441,19,"26,013,334",442226678.0,269 EAST GRAND AVE   SOUTH SAN FRANCISCO CA 94080,415-910-5717
897,Axcella Health Inc.,AXLA,NASDAQ Global,20.0,"3,571,428","$71,428,560",2019-05-09,/market-activity/ipos/overview?dealId=958120-89421,49,"22,988,359",459767180.0,840 MEMORIAL DRIVE THIRD FLOOR  CAMBRIDGE MA 02139,617-868-0949
898,"Uber Technologies, Inc",UBER,NYSE,45.0,"180,000,000","$8,100,000,000",2019-05-10,/market-activity/ipos/overview?dealId=875805-89413,22263,"1,682,521,965",75713488425.0,1515 3RD STREET   SAN FRANCISCO CA 94158,415-612-8582
899,SONIM TECHNOLOGIES INC,SONM,NASDAQ Global,11.0,"3,571,429","$39,285,719",2019-05-10,/market-activity/ipos/overview?dealId=375365-89454,321,"19,509,722",214606942.0,"6836 BEE CAVE ROAD BUILDING 1, SUITE 279  AUSTIN TX 78746",650-378-8100
900,Jiayin Group Inc.,JFIN,NASDAQ Global Select,10.5,"3,500,000","$36,750,000",2019-05-10,/market-activity/ipos/overview?dealId=1072392-88616,831,"3,500,000",36750000.0,"26TH FLOOR,BUILDING NO.1,YOUYOU CENTURY PLAZA,428 SOUTH YANGGAO ROAD,PUDONG  SHANGHAI  200122",86 2160828732
901,"Fastly, Inc.",FSLY,NYSE,16.0,"11,250,000","$180,000,000",2019-05-17,/market-activity/ipos/overview?dealId=948580-89485,489,"11,250,000",180000000.0,475 BRANNAN SUITE 300  SAN FRANCISCO CA 94107,415-525-3481
902,"Avantor, Inc.",AVTR,NYSE,14.0,"207,000,000","$2,898,000,000",2019-05-17,/market-activity/ipos/overview?dealId=1041057-88910,12000,"534,293,808",7480113312.0,"RADNOR CORPORATE CENTER, BUILDING ONE SUITE 200, 100 MATSONFORD ROAD  RADNOR PA 19087",(610) 386-1700
903,Luckin Coffee Inc.,LK,NASDAQ Global Select,17.0,"33,000,000","$561,000,000",2019-05-17,/market-activity/ipos/overview?dealId=1083391-89499,16645,36891864,627161688.0,"17F BLOCK A, TEFANG PORTMAN TOWER NO. 81 ZHANHONG ROAD, SIMING DISTRICT  XIAMEN, FUJIAN  361008",86 592 338 6666
904,BICYCLE THERAPEUTICS plc,BCYC,NASDAQ Global Select,14.0,"4,333,333","$60,666,662",2019-05-23,/market-activity/ipos/overview?dealId=1083922-89538,61,"4,333,333",60666662.0,B900 BABRAHAM RESEARCH CAMPUS   CAMBRIDGE  CB22 3AT,011441223261503
905,"Ideaya Biosciences, Inc.",IDYA,NASDAQ Global Select,10.0,"5,000,000","$50,000,000",2019-05-23,/market-activity/ipos/overview?dealId=1002272-89541,58,"19,478,654",194786540.0,"7000 SHORELINE COURT, SUITE 350   SOUTH SAN FRANCISCO CA 94080",650-443-6209
906,DouYu International Holdings Ltd,DOYU,NASDAQ Global Select,11.5,"67,387,110","$774,951,765",2019-07-17,/market-activity/ipos/overview?dealId=1083383-89498,2080,"324,623,680",3733172320.0,"BLDING F4, OPTICAL VALLEY SOFTWARE PARK GUANSHAN AVENUE,DONGHU DEVELOPMENT AREA  WUHAN CITY, HUBEI PROVINCE  430073",86 27 8775 0710
907,"Fulcrum Therapeutics, Inc.",FULC,NASDAQ Global,16.0,"4,500,000","$72,000,000",2019-07-18,/market-activity/ipos/overview?dealId=999885-89960,62,"23,340,014",373440224.0,26 LANDSDOWNE STREET   CAMBRIDGE MA 02139,617-651-8851
908,"Mirum Pharmaceuticals, Inc.",MIRM,NASDAQ Global,15.0,"5,000,000","$75,000,000",2019-07-18,/market-activity/ipos/overview?dealId=1070111-89956,24,"23,015,769",345236535.0,"950 TOWER LANE, SUITE 1050   FOSTER CITY CA 94404",650-667-4085
909,GENMAB A/S,GMAB,NASDAQ Global Select,17.75,"28,500,000","$505,875,000",2019-07-18,/market-activity/ipos/overview?dealId=777502-89779,419,"38,629,720",685677530.0,TOLDBODGADE 33   1253 COPENHAGEN K  00000,--
910,"Phreesia, Inc.",PHR,NYSE,18.0,"9,288,194","$167,187,492",2019-07-18,/market-activity/ipos/overview?dealId=756810-89962,436,"35,506,825",639122850.0,434 FAYETTEVILLE ST. SUITE 1400  RALEIGH NC 27601,646-747-9959
911,"AssetMark Financial Holdings, Inc.",AMK,NYSE,22.0,"12,500,000","$275,000,000",2019-07-18,/market-activity/ipos/overview?dealId=920289-89984,620,"72,400,000",1592800000.0,1655 GRANT STREET 10TH FLOOR  CONCORD CA 94520,800-664-5345
912,Intercorp Financial Services Inc.,IFS,NYSE,46.0,"9,000,000","$414,000,000",2019-07-19,/market-activity/ipos/overview?dealId=946738-90082,6759,"114,260,864",5255999744.0,TORRE INTERBANK AV. CARLOS VILLAR?N 140 - LA VICTORIA  LIMA  LIMA 13,51-1-615-9011
913,"Medallia, Inc.",MDLA,NYSE,21.0,"15,500,000","$325,500,000",2019-07-19,/market-activity/ipos/overview?dealId=969278-89964,1258,"122,603,976",2574683496.0,575 MARKET STREET SUITE 1850  SAN FRANCISCO CA 94105,(650) 321-3000
914,Afya Ltd,AFYA,NASDAQ Global Select,19.0,"13,744,210","$261,139,990",2019-07-19,/market-activity/ipos/overview?dealId=1089088-89983,2705,"29,753,059",565308121.0,"ALAMEDA OSCAR NIEMEYER, NO 119 SALA 504 VILA DA SERRA  NOVA LIMA, MINAS GERAIS  00000",55 (31) 3515 7500
915,CASTLE BIOSCIENCES INC,CSTL,NASDAQ Global,16.0,"4,000,000","$64,000,000",2019-07-25,/market-activity/ipos/overview?dealId=789323-90002,96,"16,049,008",256784128.0,820 S FRIENDSWOOD DRIVE SUITE 201  FRIENDSWOOD TX 77546,866-788-9007
916,"ProSight Global, Inc.",PROS,NYSE,14.0,"7,857,145","$110,000,030",2019-07-25,/market-activity/ipos/overview?dealId=959442-90030,392,"42,999,097",601987358.0,412 MT. KEMBLE AVENUE SUITE 300C  MORRISTOWN NJ 07960,(973) 532-1725
917,Sunnova Energy International Inc.,NOVA,NYSE,12.0,"14,000,000","$168,000,000.00",2019-07-25,/market-activity/ipos/overview?dealId=1089475-90011,299,"83,115,618",997387416.0,"20 EAST GREENWAY PLAZA, SUITE 540   HOUSTON TX 77046",(281) 985-9900
918,"Health Catalyst, Inc.",HCAT,NASDAQ Global Select,26.0,"7,000,000","$182,000,000",2019-07-25,/market-activity/ipos/overview?dealId=961470-90013,728,"35,078,173",912032498.0,"10897 SOUTH RIVER FRONT PARKWAY, #300   SOUTH JORDAN UT 84095",801-708-6800
919,"Livongo Health, Inc.",LVGO,NASDAQ Global Select,28.0,"12,687,000","$355,236,000",2019-07-25,/market-activity/ipos/overview?dealId=962529-90018,471,"90,920,411",2545771508.0,150 W. EVELYN AVE.   MOUNTAIN VIEW CA 94041,1(866)435-5643
920,Blue Hat Interactive Entertainment Technology,BHAT,NASDAQ Capital,4.0,"2,000,000","$8,000,000",2019-07-26,/market-activity/ipos/overview?dealId=1079100-89086,107,"35,000,000",140000000.0,"7TH FLOOR, BUILDING C, NO. 1010, ANLING ROAD  HULI DISTRICT, XIAMEN  00000",865922280081
921,"Vista Oil & Gas, S.A.B. de C.V.",VIST,NYSE,9.25,"10,000,000","$92,500,000",2019-07-26,/market-activity/ipos/overview?dealId=1089943-90058,251,"85,929,002",794843268.5,"JAVIER BARROS SIERRA#540,TOWER2,FLR 2 COLONIA LOMAS DE SANTA FE,ALVARO OBREGON  MEXICO CITY  01210",52-55-9177-2038
922,Wanda Sports Group Co Ltd,WSG,NASDAQ Global Select,8.0,"23,800,000","$190,400,000",2019-07-26,/market-activity/ipos/overview?dealId=1087693-89870,1624,"23,800,000",190400000.0,"9/F, TOWER B, WANDA PLAZA 93 JIANGUO RD. CHAOYANG DISTRICT  BEIJING  100022",86-10-8585-3450
923,Borr Drilling Ltd,BORR,NYSE,9.3,"5,000,000","$46,500,000",2019-07-31,/market-activity/ipos/overview?dealId=1031513-90109,664,"110,068,351",1023635664.3000001,THISTLE HOUSE 4 BURNABY STREET  HAMILTON HM 11  0000,4722483000
924,"Dynatrace, Inc.",DT,NYSE,16.0,"35,609,612","$569,753,792",2019-08-01,/market-activity/ipos/overview?dealId=1090139-90086,1981,"275,537,939",4408607024.0,"1601 TRAPELO ROAD, SUITE 116   WALTHAM MA 02451",781-530-1000
925,"KURA SUSHI USA, INC.",KRUS,NASDAQ Global,14.0,"2,900,000","$40,600,000",2019-08-01,/market-activity/ipos/overview?dealId=1090098-90079,1203,"6,900,000",96600000.0,17461 DERIAN AVE. SUITE 200  IRVINE CA 92614,9497481786
926,Sundial Growers Inc.,SNDL,NASDAQ Global Select,13.0,"10,000,000","$130,000,000",2019-08-01,/market-activity/ipos/overview?dealId=1086599-90091,922,"83,807,315",1089495095.0,919 11 AVENUE SW SUITE 200  CALGARY  T2R1P3,14039485227
927,AMTD International Inc.,HKIB,NYSE,8.38,"20,759,700","$173,966,286",2019-08-05,/market-activity/ipos/overview?dealId=1088823-89948,31,"20,759,700",173966286.00000003,"CRICKET SQUARE, HUTCHINS DRIVE P.O. BOX 2681  GRAND CAYMAN  KY1-1111",852 3163 3288
928,InMode Ltd.,INMD,NASDAQ Global Select,14.0,"5,000,000","$70,000,000",2019-08-08,/market-activity/ipos/overview?dealId=1090711-90118,209,"31,973,572",447630008.0,"TAVOR BUILDING, SHA?AR YOKNEAM POB 533  YOKNEAM  2069200",972-4-9097470
929,"China Xiangtai Food Co., Ltd.",PLIN,NASDAQ Capital,5.0,"1,172,360","$5,861,800",2019-08-14,/market-activity/ipos/overview?dealId=1062677-87717,200,"23,791,667",118958335.0,"C/O CHONGQING PENGLIN FOOD CO., LTD. XINGANXIAN BLDG B, STE 19-1 LIANGLUKOU,  YUZHONG DISTRICT, CHONGQING  400800",86 023-86330158
930,9F Inc.,JFU,NASDAQ Global,9.5,"8,900,000","$84,550,000",2019-08-15,/market-activity/ipos/overview?dealId=1091863-90197,1516,"8,900,000",84550000.0,"JIUFU BUILDING,RONGXIN TECHNOLOGY CENTER CHAOYANG DISTRICT  BEIJING  100102",86-10-85276996
931,"CROSSFIRST BANKSHARES, INC.",CFB,NASDAQ Global Select,14.5,"7,011,589","$101,668,041",2019-08-15,/market-activity/ipos/overview?dealId=799668-90156,360,"51,117,641",741205794.5,11440 TOMAHAWK CREEK PARKWAY   LEAWOOD KS 66211,913-312-6822
932,Fangdd Network Group Ltd.,DUO,NASDAQ Global,13.0,"6,000,000","$78,000,000",2019-11-01,/market-activity/ipos/overview?dealId=1098105-90794,1655,"6,000,000",78000000.0,"18/F, UNIT B2, KEXING SCIENCE PARK 15 KEYUAN ROAD, TECHNOLOGY PARK  SHENZHEN  518057",008675526998968
933,Q&K INTERNATIONAL GROUP Ltd,QK,NASDAQ Global,17.0,"2,700,000","$45,900,000",2019-11-05,/market-activity/ipos/overview?dealId=1097955-90787,1222,"2,700,000",45900000.0,"ROOM 1607, BUILDING A NO. 596 MIDDLE LONGHUA ROAD  XUHUI, SHANGHAI  200032",86-21-6417-9625
934,Centogene N.V.,CNTG,NASDAQ Global,14.0,"4,000,000","$56,000,000",2019-11-07,/market-activity/ipos/overview?dealId=1098429-90819,400,"19,861,340",278058760.0,AM STRANDE 7   ROSTOCK  18055,49 30 2130 00325
935,Silvergate Capital Corp,SI,NYSE,12.0,"3,333,333","$39,999,996",2019-11-07,/market-activity/ipos/overview?dealId=658821-88409,209,"17,768,357",213220284.0,4250 EXECUTIVE SQUARE STE 300   LA JOLLA CA 92037,(858) 362-6300
936,"Galera Therapeutics, Inc.",GRTX,NASDAQ Global,12.0,"5,000,000","$60,000,000",2019-11-07,/market-activity/ipos/overview?dealId=894481-90826,26,"24,362,099",292345188.0,2 WEST LIBERTY BLVD #100   MALVERN PA 19355,610-725-1500
937,36Kr Holdings Inc.,KRKR,NASDAQ Global,14.5,"1,380,000","$20,010,000",2019-11-08,/market-activity/ipos/overview?dealId=1097304-90731,478,33651033,487939978.5,"5-6/F, TWR A1, JUNHAO CENTRAL PARK PLAZA NO. 10 SOUTH CHAOYANG PARK AVENUE  CHAOYANG DISTRICT, BEIJING  00000",86 10 5825 4106
938,"TELA Bio, Inc.",TELA,NASDAQ Global,13.0,"4,000,000","$52,000,000",2019-11-08,/market-activity/ipos/overview?dealId=894283-90840,86,"11,006,756",143087828.0,"1 GREAT VALLEY PARKWAY, SUITE 24   MALVERN PA 19355",484-320-2930
939,ECMOHO Ltd,MOHO,NASDAQ Global,10.0,"4,375,000","$43,750,000",2019-11-08,/market-activity/ipos/overview?dealId=1097054-90703,639,"15,591,775",155917750.0,"3F, XUHUIYUAN BUILDING 1000 TIANYAOQIAO ROAD, XUHUI DISTRICT  SHANGHAI  200030",86-21-6113-2270
940,"89bio, Inc.",ETNB,NASDAQ Global,16.0,"5,304,687","$84,874,992",2019-11-11,/market-activity/ipos/overview?dealId=1098419-90817,14,"12,993,279",207892464.0,535 MISSION STREET 14TH FLOOR  SAN FRANCISCO CA 94105,4155004614
941,"EVmo, Inc.",YAYO,NASDAQ Capital,4.0,"2,625,000","$10,500,000",2019-11-13,/market-activity/ipos/overview?dealId=1009638-86710,21,"29,427,976",117711904.0,433 NORTH CAMDEN DRIVE SUITE 600  LOS ANGELES CA 90210,310 926 2643
942,SITIME Corp,SITM,NASDAQ Global,13.0,"4,300,000","$55,900,000",2019-11-21,/market-activity/ipos/overview?dealId=793766-90886,135,"14,300,000",185900000.0,SITIME CORPORATION 5451 PATRICK HENRY DRIVE  SANTA CLARA CA 95054,408-328-4400
943,Canaan Inc.,CAN,NASDAQ Global,9.0,"10,000,000","$90,000,000",2019-11-21,/market-activity/ipos/overview?dealId=1099600-90917,297,"10,000,000",90000000.0,"1-2/F,QIANFANG SCIENCE BLDG C,BLDG NO.27 ZHONGGUANCUN SOFTWARE PARK(PHASE I),NO.8  DONGBEIWANG WEST RD, BEIJING  100193",86 010 5874 1858
944,"LMP Automotive Holdings, Inc.",LMPX,NASDAQ Capital,5.0,"2,300,000","$11,500,000",2019-12-05,/market-activity/ipos/overview?dealId=1046037-89931,11,"8,301,639",41508195.0,500 EAST BROWARD BOULEVARD SUITE 1900  FORT LAUDERDALE FL 33394,954 895 0352
945,XP Inc.,XP,NASDAQ Global Select,27.0,"72,510,641","$1,957,787,307",2019-12-11,/market-activity/ipos/overview?dealId=1101440-91088,2091,"347,642,853",9386357031.0,"AV. CHEDID JAFET 75, TORRE SUL 30TH FLOOR, VILA OLIMPIA  SAO PAULO  00000",55-11-3075-0429
946,EHang Holdings Ltd,EH,NASDAQ Global,12.5,"3,200,000","$40,000,000",2019-12-12,/market-activity/ipos/overview?dealId=1099995-90951,233,"3,200,000",40000000.0,"BUILDING #C, YIXIANG TECHNOLOGY PARK NO.72, NANXIANG 2ND ROAD  GUANGZHOU  510700",8602029028899
947,"Bill.com Holdings, Inc.",BILL,NYSE,22.0,"9,823,529","$216,117,638",2019-12-12,/market-activity/ipos/overview?dealId=1101475-91090,544,"70,554,392",1552196624.0,1810 EMBARCADERO ROAD   PALO ALTO CA 94303,(650) 621-7700
948,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD.",OCFT,NYSE,10.0,"31,200,000","$312,000,000",2019-12-13,/market-activity/ipos/overview?dealId=1101088-91065,2695,"31,200,000",312000000.0,"55F, PING AN FINANCIAL CENTER NO. 5033 YITIAN ROAD, FUTIAN DISTRICT  SHENZHEN, GUANGDONG  518000",86-21-2066-0625
949,"Sprout Social, Inc.",SPT,NASDAQ Capital,17.0,"8,823,530","$150,000,010",2019-12-13,/market-activity/ipos/overview?dealId=852090-90895,610,"38,080,466",647367922.0,131 SOUTH DEARBORN STREET SUITE 700  CHICAGO IL 60603,866-878-3231
950,Indonesia Energy Corp Ltd,INDO,NYSE MKT,11.0,"1,363,637","$15,000,007",2019-12-19,/market-activity/ipos/overview?dealId=1092219-90237,31,"7,363,637",81000007.0,"DEA TOWER I, 11TH FLOOR, SUITE 1103 MEGA KUNINGAN  JAKARTA  12950",62215768888
951,Molecular Data Inc.,MKD,NASDAQ Global Select,5.38,"11,500,000","$61,870,000",2019-12-30,/market-activity/ipos/overview?dealId=1103069-91215,505,"11,500,000",61870000.0,"5/F,BUILDING 12,1001 NORTH QINZHOU ROAD XUHUI DISTRICT  SHANGHAI  201109",862154365166
952,"PPD, Inc.",PPD,NASDAQ Global Select,27.0,"60,000,000","$1,620,000,000",2020-02-06,/market-activity/ipos/overview?dealId=1105822-91416,23000,"339,425,107",9164477889.0,929 NORTH FRONT STREET   WILMINGTON NC 28401-3331,910 251 0081
953,Casper Sleep Inc.,CSPR,NYSE,12.0,"8,350,000","$100,200,000",2020-02-06,/market-activity/ipos/overview?dealId=925895-91428,831,"39,672,912",476074944.0,"THREE WORLD TRADE CENTER 175 GREENWICH STREET, FLOOR 39  NEW YORK NY 10007",(347) 941-1871
954,"Schrodinger, Inc.",SDGR,NASDAQ Global Select,17.0,"11,882,352","$201,999,984",2020-02-06,/market-activity/ipos/overview?dealId=827807-91441,394,"48,283,005",820811085.0,120 WEST 45TH STREET 17TH FLOOR  NEW YORK NY 10036,503-299-1150
