,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth
208,"Match Group Holdings II, LLC",MTCH,Nasdaq National Market,12.0,"33,333,333","$399,999,996",2015-11-19,/market-activity/ipos/overview?dealId=905768-79612,4800,"33,333,333",399999996.0,8750 NORTH CENTRAL EXPRESSWAY SUITE 1400  DALLAS TX 75231,(214) 576-9352,"Services-Computer Programming, Data Processing, Etc.",228567000.0,768244000.0,147764000.0,888268000.0,120024000.0,1302109000.0,0.10606420957079477
209,"Square, Inc.",SQ,New York Stock Exchange,9.0,"27,000,000","$243,000,000",2015-11-19,/market-activity/ipos/overview?dealId=849216-79576,1282,"27,000,000",243000000.0,1455 MARKET STREET SUITE 600  SAN FRANCISCO CA 94103,415-375-3176,Services-Prepackaged Software,-150491000.0,226074000.0,-154093000.0,850192000.0,624118000.0,541888000.0,0.5389956791140283
210,"NantHealth, Inc.",NH,Nasdaq National Market,14.0,"6,500,000","$91,000,000",2016-06-02,/market-activity/ipos/overview?dealId=897337-80838,864,"120,732,690",1690257660.0,9920 JEFFERSON BLVD   CULVER CITY CA 90232,(310) 853-7513,Services-Computer Processing and Data Preparation,-44498000.0,25489000.0,-72011000.0,46177000.0,20688000.0,411953000.0,0.36131010288611776
211,Atkore Inc.,ATKR,New York Stock Exchange,16.0,"12,000,000","$192,000,000",2016-06-10,/market-activity/ipos/overview?dealId=988705-80469,3200,"62,458,367",999333872.0,16100 SOUTH LATHROP AVENUE   HARVEY IL 60426,(708) 339-1610,"Miscellaneous Electrical Machinery, Equipment and Supplies",36938000.0,272793000.0,-4955000.0,1729168000.0,1456375000.0,1113799000.0,0.015462422144678472
212,China Online Education Group,COE,New York Stock Exchange,19.0,"2,400,000","$45,600,000",2016-06-10,/market-activity/ipos/overview?dealId=994453-80886,1586,"19,665,710",373648490.0,"6TH FLOOR DESHI BUILDING SOUTH SHANGDI STREET, HAIDIAN DISTRICT  BEIJING  100085",8610-56928909,Services-Educational Services,-49561000.0,14631000.0,-50371000.0,23820000.0,9189000.0,44898000.0,1.8303231939163498
213,"VIVEVE MEDICAL, INC.",VIVE,Nasdaq SmallCap Market,5.0,"2,700,000","$13,500,000",2016-06-14,/market-activity/ipos/overview?dealId=7728-80738,23,"10,201,919",51009595.0,"345 INVERNESS DRIVE SOUTH BUILDING B, SUITE 250  ENGLEWOOD CO 80112",4085301900,Electromedical and Electrotherapeutic Apparatus,-11990000.0,462000.0,-12426000.0,1447000.0,985000.0,11107000.0,15.077777777777778
214,TWILIO INC,TWLO,New York Stock Exchange,15.0,"10,000,000","$150,000,000",2016-06-23,/market-activity/ipos/overview?dealId=789817-80982,567,"10,000,000",150000000.0,375 BEALE ST SUITE 300  San Francisco CA 94105,650-270-2199,Services-Prepackaged Software,-35393000.0,92465000.0,-35504000.0,166919000.0,74454000.0,157516000.0,0.8787452445805101
215,IMPINJ INC,PI,Nasdaq National Market,14.0,"4,800,000","$67,200,000",2016-07-21,/market-activity/ipos/overview?dealId=164589-81026,208,"17,810,000",249340000.0,400 FAIRVIEW AVENUE NORTH SUITE 1200  SEATTLE WA 98109,206-517-5300,"Electronic Components, Not Elsewhere Classified",1601000.0,40846000.0,900000.0,78479000.0,37633000.0,52848000.0,0.23079215218857332
216,"TPI COMPOSITES, INC",TPIC,Nasdaq National Market,11.0,"6,250,000","$68,750,000",2016-07-22,/market-activity/ipos/overview?dealId=797314-81150,6000,"32,799,363",360792993.0,"8501 N SCOTTSDALE ROAD GAINEY CENTER II, SUITE 100  SCOTTSDALE AZ 85253",480-305-8910,Engines And Turbines,27619000.0,41745000.0,7682000.0,585852000.0,544107000.0,329920000.0,0.8265237087174627
217,"Kadmon Holdings, Inc.",KDMN,New York Stock Exchange,12.0,"6,250,000","$75,000,000",2016-07-27,/market-activity/ipos/overview?dealId=888674-81089,138,"44,870,332",538443984.0,450 EAST 29TH STREET   NEW YORK NY 10016,833-900-5366,Pharmaceutical Preparations,-139853000.0,29714000.0,-147082000.0,35719000.0,6005000.0,84137000.0,-0.6240817529310236
218,TACTILE SYSTEMS TECHNOLOGY INC,TCMD,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2016-07-28,/market-activity/ipos/overview?dealId=111659-80227,275,"16,649,017",166490170.0,1331 TYLER STREET NE STE 200   MINNEAPOLIS MN 55413,866-435-3948,Surgical and Medical Instruments and Apparatus,3451000.0,45964000.0,1393000.0,62872000.0,16908000.0,36973000.0,0.31707725825372884
219,Talend S.A.,TLND,Nasdaq National Market,18.0,"5,250,000","$94,500,000",2016-07-29,/market-activity/ipos/overview?dealId=997830-81213,566,"5,250,000",94500000.0,"5-7, RUE SALOMON DE ROTHSCHILD   SURESNES  92150",650-539-3200,Services-Prepackaged Software,-21445000.0,57252000.0,-22006000.0,75960000.0,18708000.0,48061000.0,0.21378693213595182
220,At Home Group Inc.,HOME,New York Stock Exchange,15.0,"8,667,000","$130,005,000",2016-08-04,/market-activity/ipos/overview?dealId=974579-79327,2941,"59,503,727",892555905.0,AT HOME GROUP INC. 1600 EAST PLANO PARKWAY  PLANO TX 75074,(972) 265-6227,"Retail-Home Furniture, Furnishings and Equipment Stores",46303000.0,162116000.0,-436000.0,497733000.0,335617000.0,968315000.0,0.2321160691741384
221,"Medpace Holdings, Inc.",MEDP,Nasdaq National Market,23.0,"7,000,000","$161,000,000",2016-08-11,/market-activity/ipos/overview?dealId=997644-81198,2300,"39,642,113",911768599.0,5375 MEDPACE WAY   CINCINNATI OH 45227,(513) 579-9911,Services-Commercial Physical and Biological Research,20562000.0,156394000.0,-8673000.0,359059000.0,202665000.0,984041000.0,0.09996385114022081
222,AIRGAIN INC,AIRG,Nasdaq SmallCap Market,8.0,"1,500,000","$12,000,000",2016-08-12,/market-activity/ipos/overview?dealId=609696-81314,48,"7,237,615",57900920.0,3611 VALLEY CENTRE DRIVE SUITE 150  SAN DIEGO CA 92130,(760) 579-0200,Radio and Television Broadcasting and Communications Equipment,-330701.0,11644910.0,-270342.0,27793073.0,16148163.0,15260414.0,0.08951545717819177
223,"EVERBRIDGE, INC.",EVBG,NASDAQ Global,12.0,"7,500,000","$90,000,000",2016-09-16,/market-activity/ipos/overview?dealId=780521-81530,430,"26,923,604",323083248.0,25 CORPORATE DRIVE SUITE 400  BURLINGTON MA 01803,818-230-9700,Services-Prepackaged Software,-10787000.0,38931000.0,-10824000.0,58720000.0,19789000.0,53509000.0,0.3842200796775182
224,"e.l.f. Beauty, Inc.",ELF,NYSE,17.0,"8,333,333","$141,666,661",2016-09-22,/market-activity/ipos/overview?dealId=927387-81567,231,"44,379,833",754457161.0,570 10TH STREET   OAKLAND CA 94607,(510) 778-7787,"Perfumes, Cosmetics and Other Toilet Preparations",25571000.0,100329000.0,4357000.0,191413000.0,91084000.0,361072000.0,0.32059967987636606
225,Gridsum Holding Inc.,GSUM,NASDAQ Global Select,13.0,"6,700,000","$87,100,000",2016-09-23,/market-activity/ipos/overview?dealId=1002290-81570,868,"6,700,000",87100000.0,"8TH FLOOR, JADE PALACE HOTEL OFFICE BLDG 76 ZHICHUN ROAD, HAIDAN DISTRICT  BEIJING  100000",86-10-8261-9988,Services-Prepackaged Software,-7381000.0,30616000.0,-9510000.0,35758000.0,5142000.0,95209000.0,0.7815754073040706
226,VALVOLINE INC,VVV,NYSE,22.0,"30,000,000","$660,000,000",2016-09-23,/market-activity/ipos/overview?dealId=995763-81002,5050,"200,000,000",4400000000.0,100 VALVOLINE WAY   LEXINGTON KY 40509,859-357-2591,Miscellaneous Products Of Petroleum And Coal,337000000.0,685000000.0,196000000.0,1967000000.0,1282000000.0,978000000.0,-0.036256736893679566
227,"SHINECO, INC.",TYHT,NASDAQ Capital,4.5,"1,713,190","$7,709,355",2016-09-28,/market-activity/ipos/overview?dealId=647449-77894,393,"21,098,660",94943970.0,"ROOM 1001, BUILDING T5, DAZU SQUARE, DAXING DISTRICT  BEIJING  10022",(86) 10-87227366,Agricultural Production-Crops,6502418.0,10347507.0,7280278.0,32630502.0,22282995.0,52132124.0,0.04284715969301455
228,"Tabula Rasa HealthCare, Inc.",TRHC,NASDAQ Global,12.0,"4,300,000","$51,600,000",2016-09-29,/market-activity/ipos/overview?dealId=983094-80108,204,"15,584,558",187014696.0,228 STRAWBRIDGE DRIVE SUITE 100  MOORESTOWN NJ 08057,866-648-2767,"Services-Business Services, Not Elsewhere Classified",6165000.0,20911000.0,-2864000.0,70039000.0,49128000.0,58602000.0,0.446250103246056
229,"Fulgent Genetics, Inc.",FLGT,NASDAQ Global,9.0,"4,200,000","$37,800,000",2016-09-29,/market-activity/ipos/overview?dealId=1002718-81621,55,"17,046,256",153416304.0,"4978 SANTA ANITA AVENUE, SUITE 205   TEMPLE CITY CA 91780",626-350-0537,Services-Medical Laboratories,-5012000.0,4507000.0,-8314000.0,9576000.0,5069000.0,5832000.0,6.492957746478873
230,"Nutanix, Inc.",NTNX,NASDAQ Global Select,16.0,"14,870,000","$237,920,000",2016-09-30,/market-activity/ipos/overview?dealId=944166-80050,1980,"14,870,000",237920000.0,1740 TECHNOLOGY DRIVE SUITE 150  SAN JOSE CA 95110,408-216-8360,Services-Prepackaged Software,-118765000.0,140473000.0,-126127000.0,241432000.0,100959000.0,249831000.0,0.8991402298488913
231,GDS Holdings Ltd,GDS,NASDAQ Global,10.0,"19,250,000","$192,500,000",2016-11-02,/market-activity/ipos/overview?dealId=1004950-81839,573,"19,250,000",192500000.0,"F4/F5, BUILDING C, SUNLAND INTERNATIONAL NO. 999 ZHOUHAI ROAD, PUDONG,  SHANGHAI  200137",86-21-2029-2200,"Services-Computer Programming, Data Processing, Etc.",-187000.0,29050000.0,-15182000.0,108358000.0,79308000.0,789743000.0,0.43539541661147174
232,"Smart Sand, Inc.",SND,NASDAQ Global Select,11.0,"11,700,000","$128,700,000",2016-11-04,/market-activity/ipos/overview?dealId=864559-81736,97,"34,238,712",376625832.0,1725 HUGHES LANDING BOULEVARD SUITE 800  THE WOODLANDS TX 77380,(281) 231-2660,Mining and Quarrying Of Nonmetallic Minerals (No Fuels),16583000.0,26695000.0,4990000.0,47698000.0,21003000.0,132564000.0,-0.300308053395922
233,"Polar Power, Inc.",POLA,NASDAQ Capital,7.0,"2,400,000","$16,800,000",2016-12-07,/market-activity/ipos/overview?dealId=947938-81674,103,"9,783,158",68482106.0,249 E. GARDENA BOULEVARD   GARDENA CA 90248,310-830-9153,"Miscellaneous Electrical Machinery, Equipment and Supplies",306526.0,2288034.0,-33339.0,6846759.0,4558725.0,4783132.0,0.3163543219161964
234,"ICHOR HOLDINGS, LTD.",ICHR,NASDAQ Global Select,9.0,"5,877,778","$52,900,002",2016-12-09,/market-activity/ipos/overview?dealId=1008256-82088,530,23727787,213550083.0,3185 LAURELVIEW CT.   FREMONT CA 94538,510-897-5200,Semiconductors and Related Devices,12601000.0,48554000.0,5626000.0,290641000.0,242087000.0,198023000.0,0.16682524579765304
235,trivago N.V.,TRVG,NASDAQ Global Select,11.0,"26,110,118","$287,211,298",2016-12-16,/market-activity/ipos/overview?dealId=1008287-82089,1183,"30,026,635",330292985.0,KESSELSTRASSE 5 - 7   DUSSELDORF  40221,4921154065110,Services-Computer Processing and Data Preparation,-52002000.0,532439000.0,-42504000.0,535640000.0,3200000.0,825870000.0,0.4310140312256217
236,Invitation Homes Inc.,INVH,NYSE,20.0,"77,000,000","$1,540,000,000",2017-02-01,/market-activity/ipos/overview?dealId=1011996-82545,907,"302,116,760",6042335200.0,"1717 MAIN STREET, SUITE 2000   DALLAS TX 75201",(972) 421-3600,Real Estate Operators (No Developers) and Lessors,190777000.0,531767000.0,-78239000.0,922587000.0,390820000.0,9732351000.0,0.10350828719369319
237,"LAUREATE EDUCATION, INC.",LAUR,NASDAQ Global Select,14.0,"35,000,000","$490,000,000",2017-02-01,/market-activity/ipos/overview?dealId=3789-79506,67800,"35,000,000",490000000.0,650 S. EXETER STREET   BALTIMORE MD 21202,4108436100,Services-Educational Services,290677000.0,513173000.0,371847000.0,3301864000.0,2788691000.0,7062470000.0,-0.2306322566634488
238,Clipper Realty Inc.,CLPR,NYSE,13.5,"5,700,000","$76,950,000",2017-02-10,/market-activity/ipos/overview?dealId=972131-81856,180,"17,012,755",229672192.5,"4611 12TH AVENUE, SUITE 1L   BROOKLYN NY 11219",718-438-2804,Real Estate Investment Trusts,25797000.0,49823000.0,-3735000.0,93005000.0,43182000.0,905208000.0,0.09929790553638126
239,Snap Inc,SNAP,NYSE,17.0,"200,000,000","$3,400,000,000",2017-03-02,/market-activity/ipos/overview?dealId=899497-82723,1859,"661,834,416",11251185072.0,2772 DONALD DOUGLAS LOOP NORTH  SANTA MONICA CA 90405,(310) 399-3339,"Services-Computer Programming, Data Processing, Etc.",-520385000.0,-47178000.0,-514643000.0,404482000.0,451660000.0,1722792000.0,5.895010483609771
240,"J.Jill, Inc.",JILL,NYSE,13.0,"11,666,667","$151,666,671",2017-03-09,/market-activity/ipos/overview?dealId=1015222-82780,3801,"43,747,944",568723272.0,4 BATTERYMARCH PARK   QUINCY MA 02169,617-376-4300,"Women's, Misses', and Juniors' Outerwear",14158000.0,362692000.0,-6155000.0,562015000.0,199323000.0,582032000.0,0.16262929251137775
241,Ardagh Group S.A.,ARD,NYSE,19.0,"16,200,000","$307,800,000",2017-03-15,/market-activity/ipos/overview?dealId=1008708-82123,23500,"16,200,000",307800000.0,56 RUE CHARLES MARTEL   LUXEMBOURG  L-2134,352 2625 8555,Glass Containers,575000000.0,1228000000.0,-74000000.0,7014000000.0,5786000000.0,10846000000.0,0.24185552407932012
242,ProPetro Holding Corp.,PUMP,NYSE,14.0,"25,000,000","$350,000,000",2017-03-17,/market-activity/ipos/overview?dealId=999784-82763,642,"83,039,854",1162557956.0,"1706 S. MIDKIFF ROAD, BUILDING B   MIDLAND TX 79701",(432) 688-0012,"Oil and Gas Field Services, Not Elsewhere Classified",-44857000.0,32780000.0,-53147000.0,436920000.0,404140000.0,541422000.0,-0.23295963259588004
243,"Alteryx, Inc.",AYX,NYSE,14.0,"9,000,000","$126,000,000",2017-03-24,/market-activity/ipos/overview?dealId=1016440-82910,424,"9,000,000",126000000.0,3345 MICHELSON DRIVE SUITE 400  IRVINE CA 92612,(888) 836-4274,Services-Prepackaged Software,-23022000.0,69764000.0,-24258000.0,85790000.0,16026000.0,111415000.0,0.5939874770071162
244,"Elevate Credit, Inc.",ELVT,NYSE,6.5,"12,400,000","$80,600,000",2017-04-06,/market-activity/ipos/overview?dealId=979137-79758,540,"39,499,745",256748342.5,4150 INTERNATIONAL PLAZA SUITE 300  FORT WORTH TX 76109,817-928-1500,Finance Services,47804000.0,179997000.0,-22373000.0,580441000.0,400444000.0,570181000.0,0.3374031695414349
245,"Schneider National, Inc.",SNDR,NYSE,19.0,"28,947,000","$549,993,000",2017-04-06,/market-activity/ipos/overview?dealId=1010944-82434,19300,"90,508,890",1719668910.0,3101 SOUTH PACKERLAND DRIVE   GREEN BAY WI 54313,920-592-2000,Trucking (No Local),290400000.0,2326800000.0,156900000.0,4045700000.0,1718900000.0,3054600000.0,0.021796231752285698
246,"Okta, Inc.",OKTA,NASDAQ Global Select,17.0,"11,000,000","$187,000,000",2017-04-07,/market-activity/ipos/overview?dealId=1017907-83083,898,"11,000,000",187000000.0,100 FIRST STREET SUITE 600  SAN FRANCISCO CA 94105,888-722-7871,Services-Prepackaged Software,-75988000.0,49883000.0,-76302000.0,85907000.0,36024000.0,149763000.0,1.0947817605462082
247,"Yext, Inc.",YEXT,NYSE,11.0,"10,500,000","$115,500,000",2017-04-13,/market-activity/ipos/overview?dealId=942127-83080,630,"85,489,470",940384170.0,61 NINTH AVENUE   NEW YORK NY 10011,1-888-444-2988,Services-Computer Processing and Data Preparation,-26138000.0,58691000.0,-26495000.0,89724000.0,31033000.0,85497000.0,0.4953501549948335
248,"WARRIOR MET COAL, INC.",HCC,NYSE,19.0,"16,666,667","$316,666,673",2017-04-13,/market-activity/ipos/overview?dealId=1017288-83019,1130,"53,442,532",1015408108.0,16243 HIGHWAY 216   BROOKWOOD AL 35444,205-554-6150,Bituminous Coal And Lignite Mining,-101100000.0,27932000.0,-111489000.0,369017000.0,341085000.0,947631000.0,-0.3225727099331232
249,"Select Energy Services, Inc.",WTTR,NYSE,14.0,"8,700,000","$121,800,000",2017-04-21,/market-activity/ipos/overview?dealId=1011376-82969,1700,"12,777,970",178891580.0,"1233 W LOOP SOUTH, SUITE 1400   HOUSTON TX 77027",(713) 235-9500,"Oil and Gas Field Services, Not Elsewhere Classified",-298973000.0,-44128000.0,-307524000.0,302399000.0,346527000.0,405066000.0,-0.4353771726567795
250,"Floor & Decor Holdings, Inc.",FND,NYSE,21.0,"8,823,500","$185,293,500",2017-04-27,/market-activity/ipos/overview?dealId=842788-82785,4391,"92,358,577",1939530117.0,"2500 WINDY RIDGE PARKWAY, SE   ATLANTA GA 30339",404-471-1634,Retail-Lumber and Other Building Materials Dealers,69129000.0,429262000.0,43039000.0,1050759000.0,621497000.0,831166000.0,0.340233312755417
251,CARVANA CO.,CVNA,NYSE,15.0,"15,000,000","$225,000,000",2017-04-28,/market-activity/ipos/overview?dealId=1019626-83273,1067,"15,000,000",225000000.0,1930 W. RIO SALADO PARKWAY   TEMPE AZ 85281,(480) 719-8809,Retail-Auto Dealers and Gasoline Stations,-89479000.0,19197000.0,-93112000.0,365148000.0,345951000.0,335833000.0,1.8003865267807841
252,"NCS Multistage Holdings, Inc.",NCSM,NASDAQ Global Select,17.0,"9,500,000","$161,500,000",2017-04-28,/market-activity/ipos/overview?dealId=1017654-83051,197,"45,325,225",770528825.0,19350 STATE HIGHWAY 249 SUITE 600  HOUSTON TX 77070,281-453-2222,"Oil and Gas Field Services, Not Elsewhere Classified",-17982000.0,44646000.0,-17927000.0,98479000.0,53833000.0,326827000.0,-0.13618700934169553
253,"Emerald Holding, Inc.",EEX,NYSE,17.0,"15,500,000","$263,500,000",2017-04-28,/market-activity/ipos/overview?dealId=909945-83277,430,"72,202,207",1227437519.0,31910 DEL OBISPO STREET SUITE 200  SAN JUAN CAPISTRANO CA 92675,949-226-5700,"Services-Business Services, Not Elsewhere Classified",100400000.0,239300000.0,22200000.0,323700000.0,84400000.0,1572500000.0,0.0564621409921671
254,"Calyxt, Inc.",CLXT,NASDAQ Global,8.0,"7,000,000","$56,000,000",2017-07-20,/market-activity/ipos/overview?dealId=1026513-84024,27,"26,600,000",212800000.0,2800 MOUNT RIDGE ROAD   ROSEVILLE MN 55113,(651) 683-2807,Agricultural Chemicals,-12109000.0,199000.0,-12086000.0,399000.0,200000.0,16623000.0,-0.6863207547169812
255,"PetIQ, Inc.",PETQ,NASDAQ Global Select,16.0,"6,250,000","$100,000,000",2017-07-21,/market-activity/ipos/overview?dealId=1026600-84034,202,"12,285,083",196561328.0,PETIQ LLC 923 S. BRIDGEWAY PL.  EAGLE ID 83616,208-939-8900,"Wholesale-Drugs, Proprietaries and Druggists' Sundries",702000.0,32547000.0,0.0,200162000.0,167615000.0,81330000.0,-0.026861201728840423
256,"Newater Technology, Inc.",NEWA,NASDAQ Capital,5.0,"1,400,000","$7,000,000",2017-07-28,/market-activity/ipos/overview?dealId=1020960-83430,95,"10,599,000",52995000.0,"C/O YANTAI JINZHENG ECO-TECHNOLOGY LTD. 1 RUIDA RD., LAISHAN DISTRICT  YANTAI  264003",(86) 0535-6212280,Sanitary Services,1394427.0,4540948.0,2433720.0,12279721.0,7738773.0,17591424.0,0.7597125298104654
257,Redfin CORP,RDFN,NASDAQ Global Select,15.0,"9,231,000","$138,465,000",2017-07-28,/market-activity/ipos/overview?dealId=728338-84092,2193,"79,536,768",1193051520.0,"1099 STEWART STREET, SUITE 600   seattle WA 98101",(206) 576-8333,Real Estate Agents and Managers (For Others),-22784000.0,82744000.0,-22526000.0,267196000.0,184452000.0,133477000.0,0.4262776372118844
258,"ZK International Group Co., Ltd.",ZKIN,NASDAQ Capital,5.0,"1,068,346","$5,341,730",2017-09-01,/market-activity/ipos/overview?dealId=1024102-83785,347,"13,500,000",67500000.0,NO. 678 DINGXIANG ROAD BINHAI INDUSTRIAL PARK  WENZHOU  325025,8657786852999,Miscellaneous Fabricated Metal Products,7616021.0,11475776.0,5249537.0,36809094.0,25333318.0,45550956.0,0.05212214486938058
259,"Despegar.com, Corp.",DESP,NYSE,26.0,"12,770,000","$332,020,000",2017-09-20,/market-activity/ipos/overview?dealId=1030635-84497,2781,"67,182,110",1746734860.0,JUANA MANSO 999   BUENOS AIRES  C1107CBR,54 11 4894 3500,Transportation services,35087000.0,284487000.0,17797000.0,411162000.0,126675000.0,353710000.0,-0.02501476129387187
260,"TDH Holdings, Inc.",PETZ,NASDAQ Capital,4.25,"1,325,000","$5,631,250",2017-09-21,/market-activity/ipos/overview?dealId=1030372-84465,220,"9,225,000",39206250.0,"C/O QINGDAO TIANDIHUI FOODSTUFFS CO. LTD RM. 722-1, B/D. B, WTC ,#6 HK MID RD.  QINGDAO, SHANDONG PROVINCE  0000",86-532-85919267,Food and kindred products,1151289.0,7075487.0,1009171.0,24443736.0,17368249.0,13239919.0,0.49848733536476886
261,Secoo Holding Ltd,SECO,NASDAQ Global,13.0,"8,500,000","$110,500,000",2017-09-22,/market-activity/ipos/overview?dealId=1031409-84590,544,"8,500,000",110500000.0,"ROOM 1503, BUILDING C, GALAXY SOHO CHAONEI STREET, DONGCHENG DISTRICT  BEIJING  100010",86 10 6588-0135,"Retail-Retail Stores, Not Elsewhere Classified",-4206000.0,57579000.0,-6397000.0,373239000.0,315660000.0,150488000.0,0.39041044859520635
262,"RYB Education, Inc.",RYB,NYSE,18.5,"7,800,000","$144,300,000",2017-09-27,/market-activity/ipos/overview?dealId=1031682-84617,4434,"7,800,000",144300000.0,"4/F,29 BUILDING, FANGGUYUAN SECTION 1 FANGZHUANG, FENGTAI DISTRICT  BEIJING  100078",861087675611,Services-Educational Services,7551000.0,16897000.0,6505000.0,108513000.0,91616000.0,104410000.0,0.3096261073161312
263,"ROKU, INC",ROKU,NASDAQ Global Select,14.0,"15,668,000","$219,352,000",2017-09-28,/market-activity/ipos/overview?dealId=772030-84648,696,"15,668,000",219352000.0,1155 COLEMAN AVENUE   SAN JOSE CA 95110,408-446-1459,Cable and Other Pay Television Services,-43361000.0,121045000.0,-42758000.0,398649000.0,277604000.0,179078000.0,0.2463350809893171
264,PQ Group Holdings Inc.,PQG,NYSE,17.5,"29,000,000","$507,500,000",2017-09-29,/market-activity/ipos/overview?dealId=1025512-83930,2949,"135,219,726",2366345205.0,300 LINDENWOOD DRIVE   MALVERN PA 19355,610-651-4400,Chemicals and Allied Products,81539000.0,254092000.0,-79746000.0,1064177000.0,810085000.0,4259671000.0,1.7365528768884604
265,Loma Negra Compania Industrial Argentina Sociedad Anonima,LOMA,NYSE,19.0,"46,000,000","$874,000,000",2017-11-01,/market-activity/ipos/overview?dealId=1032000-84664,3258,"119,205,298",2264900662.0,"CECILIA GRIERSON 355, 4TH FLOOR   BUENOS AIRES  C1107CPG",54 114-319-3000,"Cement, Hydraulic",143933086.0,264152521.0,81314569.0,1221762345.0,957609825.0,566319523.0,1.0093769797323366
266,Altair Engineering Inc.,ALTR,NASDAQ Global Select,13.0,"12,000,000","$156,000,000",2017-11-01,/market-activity/ipos/overview?dealId=1033792-84874,2400,"21,387,512",278037656.0,1820 E. BIG BEAVER ROAD   TROY MI 48083,248-614-2400,Services-Prepackaged Software,-176409000.0,18784000.0,-181693000.0,89422000.0,70638000.0,250776000.0,-0.6959769352902978
267,"Funko, Inc.",FNKO,NASDAQ Global Select,12.0,"10,416,666","$124,999,992",2017-11-02,/market-activity/ipos/overview?dealId=1034400-84948,472,"23,337,705",280052460.0,2802 WETMORE AVE   EVERETT WA 98201,425-783-3616,"Games, Toys and Children's Vehicles (No Dolls and Bicycles)",44147000.0,146321000.0,26880000.0,426717000.0,280396000.0,522237000.0,0.5570430860845959
268,Evoqua Water Technologies Corp.,AQUA,NYSE,18.0,"27,777,777","$499,999,986",2017-11-02,/market-activity/ipos/overview?dealId=932535-84909,4000,"113,282,257",2039080626.0,210 SIXTH AVENUE   PITTSBURGH PA 15222,724-772-0044,Refrigeration And Service Industry Machinery,30189000.0,333065000.0,11639000.0,1137196000.0,804131000.0,1296231000.0,0.0718496162930763
269,"ACM Research, Inc.",ACMR,NASDAQ Global,5.6,"2,000,000","$11,200,000",2017-11-03,/market-activity/ipos/overview?dealId=1001588-84740,187,"12,702,546",71134257.6,"42307 OSGOOD ROAD, SUITE I   FREMONT CA 94539",510-445-3700,"Special Industry Machinery, Not Elsewhere Classified",3490000.0,13329000.0,1031000.0,27371000.0,14042000.0,44467000.0,-0.12289303339101455
270,SOGOU INC.,SOGO,NYSE,13.0,"45,000,000","$585,000,000",2017-11-09,/market-activity/ipos/overview?dealId=1034865-84981,2315,"45,000,000",585000000.0,"LEVEL 15, SOHU.COM INTERNET PLAZA NO. 1 UNIT ZHONGGUANCUN,HAIDIAN DISTRICT  BEIJING  100084",86-10-5689-9999,Services-Computer Programming Services,71622000.0,357672000.0,56112000.0,660408000.0,302736000.0,524818000.0,0.1159254008512968
271,Bandwidth Inc.,BAND,NASDAQ Global Select,20.0,"4,000,000","$80,000,000",2017-11-10,/market-activity/ipos/overview?dealId=849754-84988,338,"4,034,840",80696800.0,900 MAIN CAMPUS DRIVE   RALEIGH NC 27606,919-439-4171,Services-Prepackaged Software,15244000.0,66917000.0,22358000.0,152135000.0,85218000.0,69973000.0,0.10401956444437994
272,Jianpu Technology Inc.,JT,NYSE,8.0,"22,500,000","$180,000,000",2017-11-16,/market-activity/ipos/overview?dealId=1035519-85063,669,"22,500,000",180000000.0,21/F INTERNET FINANCE CENTER DANLING STREET  BEIJING  100080,00861082625755,"Services-Computer Programming, Data Processing, Etc.",-26234000.0,41687000.0,-26207000.0,51282000.0,9595000.0,19351000.0,0.9777854911489067
273,"Sailpoint Technologies Holdings, Inc.",SAIL,NYSE,12.0,"20,000,000","$240,000,000",2017-11-17,/market-activity/ipos/overview?dealId=952413-85050,765,"85,554,305",1026651660.0,11120 FOUR POINTS DRIVE SUITE 100  AUSTIN TX 78726,(512) 346-2000,Services-Prepackaged Software,2729000.0,95374000.0,-3173000.0,132412000.0,37038000.0,387410000.0,0.3886069046520408
274,BLUEGREEN VACATIONS CORP,BXG,NYSE,14.0,"6,498,648","$90,981,072",2017-11-17,/market-activity/ipos/overview?dealId=7500-85070,5729,"74,734,455",1046282370.0,4960 CONFERENCE WAY NORTH SUITE 100  BOCA RATON FL 33431,5619128000,Real Estate Agents and Managers (For Others),70966000.0,489172000.0,77877000.0,628707000.0,139535000.0,1128632000.0,0.17886172764040897
275,"ReTo Eco-Solutions, Inc.",RETO,NASDAQ Capital,5.0,"2,800,000","$14,000,000",2017-11-29,/market-activity/ipos/overview?dealId=1029887-84374,223,"22,340,000",111700000.0,"C/O BEIJING REIT TECHNOLOGY CO. LTD. 24TH FL., BLDG. B, ANLI RD., CHAOYANG  BEIJING  100001",(86) 10-64827328,"Abrasive, Asbestos and Miscellaneous Nonmetallic Mineral Products",8189030.0,14053041.0,4103521.0,32424269.0,18371228.0,62660999.0,0.8651388232408497
276,Boxlight Corp,BOXL,NASDAQ Capital,7.0,"1,000,000","$7,000,000",2017-11-30,/market-activity/ipos/overview?dealId=967411-78631,43,"9,465,410",66257870.0,1045 PROGRESS CIRCLE   LAWRENCEVILLE GA 30043,404-891-1122,Services-Educational Services,-1286254.0,7412077.0,-2061983.0,20371826.0,12959749.0,19120378.0,5.0320216268713285
