,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
175,Adecoagro S.A.,AGRO,New York Stock Exchange,11.0,"28,571,428","$314,285,708",2011-01-28,/market-activity/ipos/overview?dealId=845500-66160
176,"HCA Healthcare, Inc.",HCA,New York Stock Exchange,30.0,"126,200,000","$3,786,000,000",2011-03-10,/market-activity/ipos/overview?dealId=10298-66010
177,MagnaChip Semiconductor CORP,MX,New York Stock Exchange,14.0,"9,500,000","$133,000,000",2011-03-11,/market-activity/ipos/overview?dealId=672432-63611
178,Cornerstone OnDemand Inc,CSOD,Nasdaq National Market,13.0,"10,500,000","$136,500,000",2011-03-17,/market-activity/ipos/overview?dealId=746404-65285
179,"ARABELLA EXPLORATION, INC.",LOKAF,OTCBB,8.0,"4,000,000","$32,000,000",2011-03-21,/market-activity/ipos/overview?dealId=848565-66422
180,PRIME ACQUISITION CORP,PACQU,Nasdaq Smallcap Market,10.0,"3,600,000","$36,000,000",2011-03-25,/market-activity/ipos/overview?dealId=846005-66195
181,"SERVICESOURCE INTERNATIONAL, INC.",SREV,Nasdaq National Market,10.0,"11,940,133","$119,401,330",2011-03-25,/market-activity/ipos/overview?dealId=656414-65973
182,Qihoo 360 Technology Co Ltd,QIHU,New York Stock Exchange,14.5,"12,110,800","$175,606,600",2011-03-30,/market-activity/ipos/overview?dealId=850169-66570
183,"Apollo Global Management, Inc.",APO,New York Stock Exchange,19.0,"29,757,559","$565,393,621",2011-03-30,/market-activity/ipos/overview?dealId=756155-58048
184,MTGE Investment Corp.,MTGE,Nasdaq National Market,20.0,"8,000,000","$160,000,000",2011-08-04,/market-activity/ipos/overview?dealId=851755-66736
185,Africa Growth Corp,BRHM,OTCBB,1.0,"10,297,019","$10,297,019",2011-08-04,/market-activity/ipos/overview?dealId=837582-65227
186,SANDRIDGE ENERGY INC,PER,New York Stock Exchange,18.0,"30,000,000","$540,000,000",2011-08-11,/market-activity/ipos/overview?dealId=696018-67249
187,Carbonite Inc,CARB,Nasdaq National Market,10.0,"6,250,000","$62,500,000",2011-08-11,/market-activity/ipos/overview?dealId=686680-67102
188,Tudou Holdings Ltd,TUDO,Nasdaq National Market,29.0,"6,000,000","$174,000,000",2011-08-17,/market-activity/ipos/overview?dealId=840944-65618
189,"VEREIT, Inc.",ARCP,Nasdaq SmallCap Market,12.5,"8,800,000","$110,000,000",2011-09-07,/market-activity/ipos/overview?dealId=847880-66357
190,"Poage Bankshares, Inc.",PBSK,Nasdaq SmallCap Market,10.0,"2,932,500","$29,325,000",2011-09-13,/market-activity/ipos/overview?dealId=847820-66348
191,Teucrium Commodity Trust,WEAT,New York Stock Exchange,25.0,"10,000,000","$250,000,000",2011-09-19,/market-activity/ipos/overview?dealId=812164-64493
192,Teucrium Commodity Trust,CANE,New York Stock Exchange,25.0,"10,000,000","$250,000,000",2011-09-19,/market-activity/ipos/overview?dealId=812164-64489
193,Teucrium Commodity Trust,SOYB,New York Stock Exchange,25.0,"10,000,000","$250,000,000",2011-09-19,/market-activity/ipos/overview?dealId=812164-64492
194,Ubiquiti Inc.,UBNT,Nasdaq National Market,15.0,"7,038,230","$105,573,450",2011-10-14,/market-activity/ipos/overview?dealId=857833-67441
195,"HINTO ENERGY, INC",GVTS,OTCBB,0.25,"1,030,000","$257,500",2011-10-14,/market-activity/ipos/overview?dealId=64293-56771
196,Invesco CurrencyShares Chinese Renminbi Trust,FXCH,New York Stock Exchange,78.21,"7,000,000","$547,470,000",2011-10-14,/market-activity/ipos/overview?dealId=856644-67305
197,"BSB Bancorp, Inc.",BLMT,Nasdaq SmallCap Market,10.0,"7,820,000","$78,200,000",2011-10-14,/market-activity/ipos/overview?dealId=857266-67372
198,Zeltiq Aesthetics Inc,ZLTQ,Nasdaq National Market,13.0,"7,000,000","$91,000,000",2011-10-19,/market-activity/ipos/overview?dealId=759517-67654
199,Enduro Resource Partners LLC,NDRO,New York Stock Exchange,22.0,"13,200,000","$290,400,000",2011-11-03,/market-activity/ipos/overview?dealId=855486-67135
200,"East Dubuque Nitrogen Partners, L.P.",RNF,New York Stock Exchange,20.0,"15,000,000","$300,000,000",2011-11-04,/market-activity/ipos/overview?dealId=861474-67861
201,"Groupon, Inc.",GRPN,Nasdaq National Market,20.0,"35,000,000","$700,000,000",2011-11-04,/market-activity/ipos/overview?dealId=826818-67316
202,Healthcare Corp of America,SWCAU,OTCBB,10.0,"2,000,000","$20,000,000",2011-11-08,/market-activity/ipos/overview?dealId=849798-66543
203,IMPERVA INC,IMPV,New York Stock Exchange,18.0,"5,000,000","$90,000,000",2011-11-09,/market-activity/ipos/overview?dealId=711138-67452
204,PACIFIC DRILLING S.A.,PACD,New York Stock Exchange,8.25,"6,000,000","$49,500,000",2011-11-11,/market-activity/ipos/overview?dealId=853161-68548
205,"LRR Energy, L.P.",LRE,New York Stock Exchange,19.0,"9,408,000","$178,752,000",2011-11-11,/market-activity/ipos/overview?dealId=854782-67048
206,"LUMOS PHARMA, INC.",NLNK,Nasdaq National Market,7.0,"6,200,000","$43,400,000",2011-11-14,/market-activity/ipos/overview?dealId=97316-65981
207,CHESAPEAKE ENERGY CORP,CHKR,New York Stock Exchange,19.0,"20,000,000","$380,000,000",2011-11-14,/market-activity/ipos/overview?dealId=1021-67606
208,United States Commodity Index Funds Trust,CPER,New York Stock Exchange,25.0,"30,000,000","$750,000,000",2011-11-15,/market-activity/ipos/overview?dealId=818184-65771
209,"Clovis Oncology, Inc.",CLVS,Nasdaq National Market,13.0,"10,000,000","$130,000,000",2011-11-16,/market-activity/ipos/overview?dealId=807381-67478
210,InvenSense Inc,INVN,New York Stock Exchange,7.5,"10,000,000","$75,000,000",2011-11-16,/market-activity/ipos/overview?dealId=642614-64579
211,Aptiv PLC,DLPH,New York Stock Exchange,22.0,"24,078,827","$529,734,194",2011-11-17,/market-activity/ipos/overview?dealId=856325-67250
212,"Angie's List, Inc.",ANGI,Nasdaq National Market,13.0,"8,793,408","$114,314,304",2011-11-17,/market-activity/ipos/overview?dealId=828500-68016
213,INTERMOLECULAR INC,IMI,Nasdaq National Market,10.0,"9,650,000","$96,500,000",2011-11-18,/market-activity/ipos/overview?dealId=657705-67788
214,"Manning & Napier, Inc.",MN,New York Stock Exchange,12.0,"12,500,000","$150,000,000",2011-11-18,/market-activity/ipos/overview?dealId=859058-67574
215,MATTRESS FIRM HOLDING CORP.,MFRM,Nasdaq National Market,19.0,"5,555,555","$105,555,545",2011-11-18,/market-activity/ipos/overview?dealId=763720-67382
216,"Digital Domain Media Group, Inc.",DDMG,New York Stock Exchange,8.5,"4,920,000","$41,820,000",2011-11-18,/market-activity/ipos/overview?dealId=828382-67152
217,"Rose Rock Midstream, L.P.",RRMS,New York Stock Exchange,20.0,"7,000,000","$140,000,000",2011-12-09,/market-activity/ipos/overview?dealId=861945-67910
218,AMPLIFY ENERGY CORP,MEMP,Nasdaq National Market,19.0,"9,000,000","$171,000,000",2011-12-09,/market-activity/ipos/overview?dealId=858218-67483
219,"Jive Software, Inc.",JIVE,Nasdaq National Market,12.0,"13,439,600","$161,275,200",2011-12-13,/market-activity/ipos/overview?dealId=806055-68009
220,Gazit-Globe Ltd,GZT,New York Stock Exchange,9.0,"9,000,000","$81,000,000",2011-12-14,/market-activity/ipos/overview?dealId=724351-68754
221,Sanchez Energy Corp,SN,New York Stock Exchange,22.0,"10,000,000","$220,000,000",2011-12-14,/market-activity/ipos/overview?dealId=862977-68061
222,"Mid-Con Energy Partners, LP",MCEP,Nasdaq National Market,18.0,"5,400,000","$97,200,000",2011-12-15,/market-activity/ipos/overview?dealId=861967-67915
223,"Laredo Petroleum, Inc.",LPI,New York Stock Exchange,17.0,"17,500,000","$297,500,000",2011-12-15,/market-activity/ipos/overview?dealId=862471-67993
224,Capri Holdings Ltd,KORS,New York Stock Exchange,20.0,"47,200,000","$944,000,000",2011-12-15,/market-activity/ipos/overview?dealId=869036-68739
225,"Bonanza Creek Energy, Inc.",BCEI,New York Stock Exchange,17.0,"10,000,000","$170,000,000",2011-12-15,/market-activity/ipos/overview?dealId=844878-67357
226,ZYNGA INC,ZNGA,Nasdaq National Market,10.0,"100,000,000","$1,000,000,000",2011-12-16,/market-activity/ipos/overview?dealId=782377-67565
227,Crestwood Midstream Partners LP,NRGM,New York Stock Exchange,17.0,"16,000,000","$272,000,000",2011-12-16,/market-activity/ipos/overview?dealId=650673-67997
228,"Renewable Energy Group, Inc.",REGI,Nasdaq National Market,10.0,"7,200,000","$72,000,000",2012-01-19,/market-activity/ipos/overview?dealId=804642-67691
229,"Guidewire Software, Inc.",GWRE,New York Stock Exchange,13.0,"8,850,000","$115,050,000",2012-01-25,/market-activity/ipos/overview?dealId=863116-68084
230,"Verastem, Inc.",VSTM,Nasdaq National Market,10.0,"5,500,000","$55,000,000",2012-01-27,/market-activity/ipos/overview?dealId=860700-68518
231,"AMERICAN REALTY CAPITAL TRUST, INC.",ARCT,Nasdaq National Market,6.0,"6,600,000","$39,600,000",2012-03-01,/market-activity/ipos/overview?dealId=756351-69226
232,YELP INC,YELP,New York Stock Exchange,15.0,"7,150,000","$107,250,000",2012-03-02,/market-activity/ipos/overview?dealId=691649-68649
233,SELECT INCOME REIT,SIR,New York Stock Exchange,21.5,"8,000,000","$172,000,000",2012-03-07,/market-activity/ipos/overview?dealId=870575-68892
234,Nationstar Mortgage Holdings Inc.,NSM,New York Stock Exchange,14.0,"16,666,667","$233,333,338",2012-03-08,/market-activity/ipos/overview?dealId=855544-67149
235,"MOJO DATA SOLUTIONS, INC.",AUTT,OTCBB,0.3,"1,011,600","$303,480",2012-03-14,/market-activity/ipos/overview?dealId=857882-67449
236,Allison Transmission Holdings Inc,ALSN,New York Stock Exchange,23.0,"26,100,000","$600,300,000",2012-03-15,/market-activity/ipos/overview?dealId=755761-66605
237,Demandware Inc,DWRE,New York Stock Exchange,16.0,"5,500,000","$88,000,000",2012-03-15,/market-activity/ipos/overview?dealId=647034-67680
238,"MACOM Technology Solutions Holdings, Inc.",MTSI,Nasdaq National Market,19.0,"6,000,000","$114,000,000",2012-03-15,/market-activity/ipos/overview?dealId=830087-67811
239,Tecnoglass Inc.,ANDAU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2012-03-19,/market-activity/ipos/overview?dealId=868381-68659
240,BGS Acquisition Corp.,BGSCU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2012-03-21,/market-activity/ipos/overview?dealId=870797-68926
241,"Worldpay, Inc.",VNTV,New York Stock Exchange,17.0,"29,412,000","$500,004,000",2012-03-22,/market-activity/ipos/overview?dealId=867671-68582
242,Caesarstone Ltd.,CSTE,Nasdaq National Market,11.0,"6,660,000","$73,260,000",2012-03-22,/market-activity/ipos/overview?dealId=874824-69235
243,"ExactTarget, Inc.",ET,New York Stock Exchange,19.0,"8,500,000","$161,500,000",2012-03-22,/market-activity/ipos/overview?dealId=764866-68688
244,WHITING PETROLEUM CORP,WHZ,New York Stock Exchange,20.0,"16,000,000","$320,000,000",2012-03-23,/market-activity/ipos/overview?dealId=420440-68841
245,Vipshop Holdings Ltd,VIPS,New York Stock Exchange,6.5,"11,004,600","$71,529,900",2012-03-23,/market-activity/ipos/overview?dealId=874928-69246
246,"VOCERA COMMUNICATIONS, INC.",VCRA,New York Stock Exchange,16.0,"5,850,000","$93,600,000",2012-03-28,/market-activity/ipos/overview?dealId=113414-67808
247,Teucrium Commodity Trust,TAGS,New York Stock Exchange,50.0,"5,000,000","$250,000,000",2012-03-28,/market-activity/ipos/overview?dealId=812164-66936
248,"Annie's, Inc.",BNNY,New York Stock Exchange,19.0,"5,000,000","$95,000,000",2012-03-28,/market-activity/ipos/overview?dealId=775326-68736
249,Regional Management Corp.,RM,New York Stock Exchange,15.0,"4,200,000","$63,000,000",2012-03-28,/market-activity/ipos/overview?dealId=855545-67150
250,Millennial Media Inc.,MM,New York Stock Exchange,13.0,"10,200,000","$132,600,000",2012-03-29,/market-activity/ipos/overview?dealId=718200-68982
251,MERRIMACK PHARMACEUTICALS INC,MACK,Nasdaq National Market,7.0,"14,300,000","$100,100,000",2012-03-29,/market-activity/ipos/overview?dealId=615489-67626
252,CAFEPRESS INC.,PRSS,Nasdaq National Market,19.0,"4,500,000","$85,500,000",2012-03-29,/market-activity/ipos/overview?dealId=147807-67381
253,Rexnord Corp,RXN,New York Stock Exchange,18.0,"23,684,211","$426,315,798",2012-03-29,/market-activity/ipos/overview?dealId=783169-67254
254,"Enphase Energy, Inc.",ENPH,Nasdaq National Market,6.0,"8,969,697","$53,818,182",2012-03-30,/market-activity/ipos/overview?dealId=804337-67429
255,GasLog Ltd.,GLOG,New York Stock Exchange,14.0,"23,500,000","$329,000,000",2012-03-30,/market-activity/ipos/overview?dealId=872099-69045
256,"SUPERNUS PHARMACEUTICALS, INC.",SUPN,Nasdaq National Market,5.0,"10,000,000","$50,000,000",2012-05-01,/market-activity/ipos/overview?dealId=702676-66013
257,Carlyle Group Inc.,CG,Nasdaq National Market,22.0,"30,500,000","$671,000,000",2012-05-03,/market-activity/ipos/overview?dealId=863136-68088
258,"TIAA FSB Holdings, Inc.",EVER,New York Stock Exchange,10.0,"19,220,000","$192,200,000",2012-05-03,/market-activity/ipos/overview?dealId=838700-65365
259,Pacific Coast Oil Trust,ROYT,New York Stock Exchange,20.0,"18,500,000","$370,000,000",2012-05-03,/market-activity/ipos/overview?dealId=871399-68994
260,"TILLY'S, INC.",TLYS,New York Stock Exchange,15.5,"8,000,000","$124,000,000",2012-05-04,/market-activity/ipos/overview?dealId=859034-67566
261,PetroLogistics LP,PDH,New York Stock Exchange,17.0,"35,000,000","$595,000,000",2012-05-04,/market-activity/ipos/overview?dealId=857973-67458
262,"Rezolute, Inc.",FMYY,OTCBB,0.05,"786,000","$39,300",2012-05-08,/market-activity/ipos/overview?dealId=855612-67420
263,Western Asset Mortgage Capital Corp,WMC,New York Stock Exchange,20.0,"8,000,000","$160,000,000",2012-05-10,/market-activity/ipos/overview?dealId=806689-61292
264,"WAGEWORKS, INC.",WAGE,New York Stock Exchange,9.0,"6,500,000","$58,500,000",2012-05-10,/market-activity/ipos/overview?dealId=99738-66946
265,AUDIENCE INC,ADNC,Nasdaq National Market,17.0,"5,270,180","$89,593,060",2012-05-10,/market-activity/ipos/overview?dealId=383417-69037
266,Edwards Group Ltd,EVAC,Nasdaq National Market,8.0,"12,500,000","$100,000,000",2012-05-11,/market-activity/ipos/overview?dealId=877786-69467
267,"Ignite Restaurant Group, Inc.",IRG,Nasdaq National Market,14.0,"5,769,231","$80,769,234",2012-05-11,/market-activity/ipos/overview?dealId=861014-67789
268,Facebook Inc,FB,Nasdaq Global Market,38.0,"421,233,615","$16,006,877,370",2012-05-18,/market-activity/ipos/overview?dealId=673740-69138
269,GLOBAL GREEN INC.,GOGC,OTCBB,0.2,"147,516,080","$29,503,216",2012-06-05,/market-activity/ipos/overview?dealId=857236-67391
270,STREAM Exchange Traded Trust,BNPC,New York Stock Exchange,25.0,"25,000,000","$625,000,000",2012-06-06,/market-activity/ipos/overview?dealId=840573-65551
271,Cencosud S.A.,CNCO,New York Stock Exchange,15.61,"15,265,783","$238,298,873",2012-06-22,/market-activity/ipos/overview?dealId=882830-70005
272,"EQM Midstream Partners, LP",EQM,New York Stock Exchange,21.0,"12,500,000","$262,500,000",2012-06-27,/market-activity/ipos/overview?dealId=874149-69201
273,EXA CORP,EXA,Nasdaq National Market,10.0,"6,250,000","$62,500,000",2012-06-28,/market-activity/ipos/overview?dealId=338909-67839
274,"Tesaro, Inc.",TSRO,Nasdaq National Market,13.5,"6,000,000","$81,000,000",2012-06-28,/market-activity/ipos/overview?dealId=828993-69487
275,"ServiceNow, Inc.",NOW,New York Stock Exchange,18.0,"11,650,000","$209,700,000",2012-06-29,/market-activity/ipos/overview?dealId=719285-69544
276,"FS Bancorp, Inc.",FSBW,Nasdaq SmallCap Market,10.0,"2,817,500","$28,175,000",2012-07-10,/market-activity/ipos/overview?dealId=864804-68281
277,"VAPORIN, INC.",VGLD,OTCBB,0.08,"5,333,333","$426,667",2012-07-19,/market-activity/ipos/overview?dealId=843700-65977
278,"Durata Therapeutics, Inc.",DRTX,Nasdaq National Market,9.0,"7,500,000","$67,500,000",2012-07-19,/market-activity/ipos/overview?dealId=877902-69473
279,"FIVE BELOW, INC",FIVE,Nasdaq National Market,17.0,"9,615,384","$163,461,528",2012-07-19,/market-activity/ipos/overview?dealId=373747-69679
280,KAYAK SOFTWARE Corp,KYAK,Nasdaq National Market,26.0,"3,500,000","$91,000,000",2012-07-20,/market-activity/ipos/overview?dealId=659492-65680
281,Infinity Cross Border Acquisition Corp,INXBU,Nasdaq SmallCap Market,8.0,"5,000,000","$40,000,000",2012-07-20,/market-activity/ipos/overview?dealId=853166-66894
282,Palo Alto Networks Inc,PANW,New York Stock Exchange,42.0,"6,200,000","$260,400,000",2012-07-20,/market-activity/ipos/overview?dealId=674528-69601
283,"CHUY'S HOLDINGS, INC.",CHUY,Nasdaq National Market,13.0,"5,833,333","$75,833,329",2012-07-24,/market-activity/ipos/overview?dealId=861521-67870
284,EUROSITE POWER INC.,EUSP,OTCBB,1.25,"15,000,000","$18,750,000",2012-07-25,/market-activity/ipos/overview?dealId=862161-70314
285,"Natural Grocers by Vitamin Cottage, Inc.",NGVC,New York Stock Exchange,15.0,"7,142,857","$107,142,855",2012-07-25,/market-activity/ipos/overview?dealId=884127-70144
286,E2open Inc,EOPN,Nasdaq National Market,15.0,"4,687,500","$70,312,500",2012-07-26,/market-activity/ipos/overview?dealId=874854-69236
287,HYPERION THERAPEUTICS INC,HPTX,Nasdaq National Market,10.0,"5,000,000","$50,000,000",2012-07-26,/market-activity/ipos/overview?dealId=732504-69642
288,Northern Tier Energy LP,NTI,New York Stock Exchange,14.0,"16,250,000","$227,500,000",2012-07-26,/market-activity/ipos/overview?dealId=869591-68800
289,"AmREIT, Inc.",AMRE,New York Stock Exchange,14.0,"3,650,000","$51,100,000",2012-07-27,/market-activity/ipos/overview?dealId=745755-67703
290,"Del Frisco's Restaurant Group, Inc.",DFRG,Nasdaq National Market,13.0,"5,800,000","$75,400,000",2012-07-27,/market-activity/ipos/overview?dealId=760027-69084
291,"Eloqua, Inc.",ELOQ,Nasdaq National Market,11.5,"8,000,000","$92,000,000",2012-08-02,/market-activity/ipos/overview?dealId=720646-68010
292,Hyde Park Acquisition Corp. II,HPAC,Nasdaq SmallCap Market,10.0,"7,500,000","$75,000,000",2012-08-02,/market-activity/ipos/overview?dealId=854787-67055
293,GLOBUS MEDICAL INC,GMED,New York Stock Exchange,12.0,"8,333,333","$99,999,996",2012-08-03,/market-activity/ipos/overview?dealId=409317-69524
294,PEREGRINE SEMICONDUCTOR CORP,PSMI,Nasdaq National Market,14.0,"5,500,000","$77,000,000",2012-08-08,/market-activity/ipos/overview?dealId=377256-65718
295,"Bloomin' Brands, Inc.",BLMN,Nasdaq National Market,11.0,"16,000,000","$176,000,000",2012-08-08,/market-activity/ipos/overview?dealId=879125-69597
296,Manchester United plc,MANU,New York Stock Exchange,14.0,"16,666,667","$233,333,338",2012-08-10,/market-activity/ipos/overview?dealId=885184-70269
297,Performant Financial Corp,PFMT,Nasdaq National Market,9.0,"9,000,000","$81,000,000",2012-08-10,/market-activity/ipos/overview?dealId=885163-70264
298,Hi-Crush Inc.,HCLP,New York Stock Exchange,17.0,"11,250,000","$191,250,000",2012-08-16,/market-activity/ipos/overview?dealId=885352-70288
299,VYCOR MEDICAL INC,VYCO,OTCBB,0.04,"93,602,221","$3,744,089",2012-08-22,/market-activity/ipos/overview?dealId=772608-57908
300,"ENDEAVOR IP, INC.",FNTU,OTCBB,1.4,"3,000,000","$4,200,000",2012-09-05,/market-activity/ipos/overview?dealId=848986-66453
301,Capital Bank Financial Corp.,CBF,Nasdaq National Market,18.0,"10,000,000","$180,000,000",2012-09-20,/market-activity/ipos/overview?dealId=818543-67492
302,National Bank Holdings Corp,NBHC,New York Stock Exchange,19.25,"7,150,000","$137,637,500",2012-09-20,/market-activity/ipos/overview?dealId=815033-68629
303,"SPIRIT REALTY CAPITAL, INC.",SRC,New York Stock Exchange,15.0,"29,000,000","$435,000,000",2012-09-20,/market-activity/ipos/overview?dealId=617470-68594
